param_value,auto_coverage,cross_coverage
0.01,0.0,0.0
0.06157894736842105,0.0,0.0
0.1131578947368421,0.0,0.0
0.16473684210526315,0.0,0.0
0.2163157894736842,0.0,0.0
0.26789473684210524,0.0,0.0
0.3194736842105263,0.0,0.0
0.37105263157894736,0.0,0.0
0.4226315789473684,0.0,0.0
0.47421052631578947,0.0,0.0
0.5257894736842105,0.0,0.0
0.5773684210526315,0.0,0.0
0.6289473684210526,0.0,0.0
0.6805263157894736,0.0,0.0
0.7321052631578947,0.0,0.0
0.7836842105263158,0.0,0.0
0.8352631578947368,0.0,0.0
0.8868421052631579,0.0,0.0
0.9384210526315789,0.0,0.0
0.99,0.0,0.0
